ID,Keyword,Type,Category,City,Route,CPC (INR),Search Volume,Competition
1,delhi taxi service,City-Specific,Service,Delhi,,₹135.61,High,High
2,delhi cab booking,City-Specific,Service,Delhi,,₹150.68,High,High
3,delhi car rental,City-Specific,Service,Delhi,,₹138.52,High,High
4,delhi taxi booking online,City-Specific,Service,Delhi,,₹148.95,High,High
5,delhi cab service online,City-Specific,Service,Delhi,,₹112.61,High,High
6,delhi car hire,City-Specific,Service,Delhi,,₹124.39,High,High
7,delhi taxi near me,City-Specific,Service,Delhi,,₹128.87,High,High
8,delhi cab near me,City-Specific,Service,Delhi,,₹131.93,High,High
9,taxi service in delhi,City-Specific,Service,Delhi,,₹115.19,High,High
10,cab service in delhi,City-Specific,Service,Delhi,,₹134.11,High,High
11,car rental in delhi,City-Specific,Service,Delhi,,₹121.31,High,High
12,best taxi in delhi,City-Specific,Service,Delhi,,₹137.96,High,High
13,best cab in delhi,City-Specific,Service,Delhi,,₹116.49,High,High
14,cheap taxi in delhi,City-Specific,Service,Delhi,,₹107.38,High,High
15,affordable cab in delhi,City-Specific,Service,Delhi,,₹102.04,High,High
16,luxury taxi delhi,City-Specific,Service,Delhi,,₹263.06,High,High
17,premium cab delhi,City-Specific,Service,Delhi,,₹263.55,High,High
18,delhi taxi company,City-Specific,Service,Delhi,,₹135.68,High,High
19,delhi cab company,City-Specific,Service,Delhi,,₹127.91,High,High
20,delhi car rental company,City-Specific,Service,Delhi,,₹128.47,High,High
21,delhi sedan taxi,City-Specific,Service,Delhi,,₹124.71,High,High
22,delhi suv rental,City-Specific,Service,Delhi,,₹129.59,High,High
23,delhi hatchback cab,City-Specific,Service,Delhi,,₹129.72,High,High
24,delhi innova taxi,City-Specific,Service,Delhi,,₹125.15,High,High
25,delhi ertiga cab,City-Specific,Service,Delhi,,₹112.89,High,High
26,delhi tempo traveller,City-Specific,Service,Delhi,,₹127.74,High,High
27,delhi mini bus rental,City-Specific,Service,Delhi,,₹128.22,High,High
28,delhi luxury car rental,City-Specific,Service,Delhi,,₹246.90,High,High
29,delhi ac taxi,City-Specific,Service,Delhi,,₹110.18,High,High
30,delhi 4 seater cab,City-Specific,Service,Delhi,,₹128.71,High,High
31,delhi 6 seater cab,City-Specific,Service,Delhi,,₹110.76,High,High
32,delhi 7 seater cab,City-Specific,Service,Delhi,,₹124.46,High,High
33,delhi swift dzire,City-Specific,Service,Delhi,,₹115.03,High,High
34,delhi honda city,City-Specific,Service,Delhi,,₹118.71,High,High
35,delhi toyota etios,City-Specific,Service,Delhi,,₹131.05,High,High
36,delhi airport taxi,City-Specific,Service,Delhi,,₹179.50,High,High
37,delhi airport cab,City-Specific,Service,Delhi,,₹186.61,High,High
38,delhi airport transfer,City-Specific,Service,Delhi,,₹182.07,High,High
39,delhi airport pickup,City-Specific,Service,Delhi,,₹195.06,High,High
40,delhi airport drop,City-Specific,Service,Delhi,,₹185.49,High,High
41,delhi railway station taxi,City-Specific,Service,Delhi,,₹123.73,High,High
42,delhi station pickup,City-Specific,Service,Delhi,,₹124.00,High,High
43,delhi outstation taxi,City-Specific,Service,Delhi,,₹130.34,High,High
44,delhi outstation cab,City-Specific,Service,Delhi,,₹111.62,High,High
45,delhi local taxi,City-Specific,Service,Delhi,,₹133.74,High,High
46,delhi local cab,City-Specific,Service,Delhi,,₹113.03,High,High
